"","event_type","freq"
"1","Thunderstorm Wind",43887
"2","Hail",28750
"3","Flash Flood",11883
"4","Winter Weather",11773
"5","Winter Storm",9856
"6","High Wind",8503
"7","Heavy Snow",6712
"8","Drought",6677
"9","Flood",6194
"10","Marine Thunderstorm Wind",5637
"11","Heavy Rain",4938
"12","Tornado",3450
"13","Extreme Cold/Wind Chill",3244
"14","Strong Wind",2443
"15","Dense Fog",2442
"16","Cold/Wind Chill",2252
"17","Frost/Freeze",1650
"18","Blizzard",1576
"19","High Surf",1538
"20","Heat",1389
"21","Lightning",1309
"22","Funnel Cloud",985
"23","Excessive Heat",963
"24","Wildfire",900
"25","Ice Storm",710
